參與者編號,中央結算系統參與者名稱 (*即願意披露的投資者戶口持有人),地址,持股量,佔已發行股份/權證/單位百分比
B01948,財通國際證券有限公司,RM 2401-2405 24/F GRAND MILLENNIUM PLAZA 181 QUEEN'S ROAD CENTRAL HONG KONG,"8,700",0.00%
B01129,宏高證券有限公司,RM 1002 WING ON CENTRE 111 CONNAUGHT ROAD CENTRAL HONG KONG,"7,600",0.00%
B02194,仁和資本有限公司,UNIT 2505 25/F COSCO TOWER 183 QUEEN'S ROAD CENTRAL HONG KONG,"7,400",0.00%
B01910,富冊國際證券期貨有限公司,UNITS 02B-03A 23/F SINO PLAZA 256-257 GLOUCESTER ROAD CAUSEWAY BAY HONG KONG,"6,600",0.00%
B01470,鴻昇證券有限公司,SUITE 2505 25/F WEST TOWER SHUN TAK CENTRE 200 CONNAUGHT ROAD CENTRAL SHEUNG WAN HONG KONG,"6,400",0.00%
B01981,青石證券(香港)有限公司,ROOM 1701-2 17TH FLOOR STAR HOUSE NO3 SALISBURY ROAD TSIM SHA TSUI KOWLOON,"6,400",0.00%
B02042,大聖證券有限公司,UNIT 2418 24/F CHINA MERCHANTS TOWER SHUN TAK CENTRE 168 CONNAUGHT ROAD CENTRAL HONG KONG,"6,400",0.00%
B01230,高裕證券有限公司,SUITE 4409 44/F COSCO TOWER 183 QUEEN'S ROAD CENTRAL HONG KONG,"6,100",0.00%
B01627,山高國際證券有限公司,38/F THE CENTER 99 QUEEN'S ROAD CENTRAL CENTRAL HONG KONG,"6,100",0.00%
B01988,樹熊證券有限公司,OFFICE A-B 8TH FLOOR AUBIN HOUSE 171-172 GLOUCESTER ROAD WANCHAI HONG KONG,"6,000",0.00%
B01907,國農證券有限公司,UNIT A1 35/F UNITED CENTRE 95 QUEENSWAY ADMIRALTY HONG KONG,"5,700",0.00%
B02085,海富證券投資有限公司,UNIT 16 22/F SEAPOWER TOWER CONCORDIA PLAZA 1 SCIENCE MUSEUM ROAD KOWLOON,"5,500",0.00%
B01328,萬興證券有限公司,RM 901-2 LANSING HSE 41-47 QUEEN'S RD C CENTRAL HONG KONG,"5,400",0.00%
B01986,華金證券(國際)有限公司,SUITE 1101-1106 11/F CHAMPION TOWER 3 GARDEN ROAD CENTRAL HONG KONG,"5,400",0.00%
B01416,匯盈證券有限公司,6/F CENTRE POINT 181-185 GLOUCESTER ROAD WANCHAI HONG KONG,"5,300",0.00%
B01525,祺昌證券有限公司,ROOM 2002 20/F WIN CENTURY CENTRE 2A MONGKOK ROAD MONGKOK KOWLOON,"5,300",0.00%
B02106,弘業國際金融控股有限公司,FLAT/RM 03-5 20/F JUBILEE CENTRE 46 GLOUCESTER ROAD WANCHAI HONG KONG,"5,000",0.00%
B01427,謝氏膺暉證券有限公司,ROOM 910-911 9/F COSCO TOWER 183 QUEEN'S ROAD CENTRAL SHEUNG WAN HONG KONG,"4,600",0.00%
B01666,寶新證券有限公司,ROOM 2307-09 23/F CHINA RESOURCES BUILDING 26 HARBOUR ROAD WAN CHAI HONG KONG,"4,500",0.00%
B01825,國元証券經紀(香港)有限公司,17/F THREE EXCHANGE SQUARE 8 CONNAUGHT ROAD CENTRAL CENTRAL HONG KONG,"4,500",0.00%
B02206,卓銳證券(香港)有限公司,16/F RYKADAN CAPITAL TOWER 135 HOI BUN ROAD KWUN TONG KOWLOON,"4,000",0.00%
B01386,軟庫中華金融服務有限公司,4/F HENLEY BUILDING 5 QUEEN'S ROAD CENTRAL HONG KONG,"3,900",0.00%
B01458,益高證券有限公司,19TH FLOOR TUNG NING BUILDING 125-7 CONNAUGHT ROAD CENTRAL HONG KONG,"3,800",0.00%
B01921,公平證券有限公司,UNIT D 8/F TOWER B BILLION CENTRE 1 WANG KWONG ROAD KOWLOON BAY KOWLOON,"3,800",0.00%
B01209,茂宸證券有限公司,2101 21/F CONVENTION PLAZA OFFICE TOWER 1 HARBOUR ROAD WANCHAI HONG KONG,"3,700",0.00%
B01767,新基立證券有限公司,RM 1106 REGENT CENTRE 88 QUEEN'S ROAD CENTRAL HONG KONG,"3,200",0.00%
B02014,粵商國際證券有限公司,ROOM 2704 WEST TOWER SHUN TAK CENTRE 168-200 CONNAUGHT ROAD CENTRAL SHEUNG WAN HONG KONG,"3,200",0.00%
B01267,永富證券有限公司,RM 1402 FORTIS BANK TOWER 77-79 GLOUCESTER ROAD WANCHAI HONG KONG,"3,000",0.00%
B01685,同舟證券（香港）有限公司,ROOM 1901 19/F EMPEROR GROUP CENTRE 288 HENNESSY ROAD WAN CHAI HONG KONG,"2,800",0.00%
B01694,嬴控金融證券有限公司,UNIT 1804C 18/F FAR EAST FINANCE CENTRE 16 HARCOURT ROAD HONG KONG,"2,800",0.00%
B01659,滿好證券有限公司,ROOM 2101 21/F TOWER 1 LIPPO CENTRE 89 QUEENSWAY ADMIRALTY HONG KONG,"2,700",0.00%
B01973,寶鉅證券有限公司,11/F LEE GARDEN FIVE 18 HYSAN AVENUE CAUSEWAY BAY HONG KONG,"2,400",0.00%
B02156,嶺利投資管理有限公司,ROOM 702 7/F DINA HOUSE 3-11 DUDDELL STREET CENTRAL HONG KONG,"2,200",0.00%
B01540,美建證券有限公司,2/F WAH KIT COMMERCIAL CENTRE 302 DES VOEUX ROAD CENTRAL HONG KONG,"2,100",0.00%
B01576,兆安證券有限公司,32/F SIU ON CENTRE 188 LOCKHART ROAD WANCHAI HONG KONG,"2,100",0.00%
B01937,長江證券經紀(香港)有限公司,UNIT 3605-3611 36/F COSCO TOWER 183 QUEEN'S ROAD CENTRAL CENTRAL HONG KONG,"2,100",0.00%
B02017,匯生證券有限公司,UNIT 1005A-B & 1006A 10/F BANK OF AMERICA TOWER 12 HARCOURT ROAD ADMIRALTY HONG KONG,"2,100",0.00%
B02099,直達國際金融服務有限公司,RM 4704-06 47/F HOPEWELL CENTRE 183 QUEEN'S ROAD EAST WAN CHAI HONG KONG,"2,100",0.00%
C00040,中國工商銀行(亞洲)有限公司,2/F ONE HARBOURFRONT 18-22 TAK FUNG ST HUNG HOM KOWLOON,"2,100",0.00%
B02214,盈寶證券國際(香港)有限公司,ROOMS 2202-3 22/F JUBILEE CENTRE 18 FENWICK STREET WAN CHAI HONG KONG,"1,900",0.00%
B01438,金利豐證券有限公司,72/F THE CENTER 99 QUEEN'S ROAD CENTRAL CENTRAL HONG KONG,"1,800",0.00%
B01936,敏哲証券有限公司,SHOP 68-70 MANOR CENTRE 218 FUK WING STREET CHEUNG SHA WAN KOWLOON,"1,800",0.00%
B02073,華贏東方(亞洲)控股有限公司,ROOM 1910-1912A TOWER 3 CHINA HONG KONG CITY 33 CANTON ROAD TSIM SHA TSUI KOWLOON,"1,800",0.00%
B01425,偉富證券有限公司,RM 406 4/F HOUSTON CENTRE 63 MODY ROAD TSIMSHATSUI EAST KOWLOON,"1,700",0.00%
B01852,裕承環球市場有限公司,UNIT 901-02 9/F K11 ATELIER KING'S ROAD 728 KING'S ROAD QUARRY BAY HONG KONG,"1,700",0.00%
B02055,東皓證券有限公司,ROOM 1004 10/F BANK OF AMERICA TOWER 12 HARCOURT ROAD CENTRAL HONG KONG,"1,600",0.00%
B01253,常匯證券有限公司,UNITS 406-410 4/F TOWER 2 SILVERCORD 30 CANTON ROAD TSIM SHA TSUI KOWLOON,"1,500",0.00%
B01310,同德証券(香港)有限公司,G/F 169 TAI NAM ST SHAMSHUIPO KOWLOON,"1,500",0.00%
B01389,中融平和證券有限公司,ROOM 3505-10 35/F TOWER 5 THE GATEWAY 15 CANTON ROAD TSIM SHA TSUI KOWLOON,"1,500",0.00%
B01897,中達證券投資有限公司,5/F CHINA TAIPING TOWER PHASE II 8 SUNNING ROAD CAUSEWAY BAY HONG KONG,"1,500",0.00%
B01579,金杏資本(香港)有限公司,SUITE 2703 27/F EVERBRIGHT CENTRE 108 GLOUCESTER ROAD WAN CHAI HONG KONG,"1,300",0.00%
B01680,實德證券有限公司,UNITS 1001A & 04B 10/F TOWER 1 ADMIRALTY CENTRE 18 HARCOURT ROAD HONG KONG,"1,300",0.00%
B02179,耀佳金融集團有限公司,UNIT 1605B-1606A 16/F TOWER A MANULIFE FINANCIAL CENTRE 223-231 WAI YIP STREET KWUN TONG KOWLOON,"1,300",0.00%
B01294,中策富匯證券有限公司,RM 3206 32/F CHINA RESOURCES BUILDING 26 HARBOUR ROAD WANCHAI HONG KONG,"1,200",0.00%
B01886,中國北方證券集團有限公司,UNIT A 26/F TIMES MEDIA CENTRE 133 WANCHAI ROAD WANCHAI HONG KONG,"1,200",0.00%
B01483,利銘證券有限公司,RM B 7/F HILLIER COMMERCIAL BUILDING 89 WING LOK ST EAST CENTRAL HONG KONG,"1,100",0.00%
B01511,達利證券有限公司,RM 1801-1806 PRESIDENT COMMERCIAL CENTRE 608 NATHAN ROAD MONGKOK KOWLOON,"1,100",0.00%
B01724,偉文証券有限公司,RM 201-5 2/F KOWLOON CENTRE 29-39 ASHLEY ROAD KOWLOON,"1,100",0.00%
B02009,金裕富證券有限公司,2201B 22/F TOWER 1 CHINA HONG KONG CITY 33 CANTON ROAD TSIM SHA TSUI KOWLOON,"1,100",0.00%
B01769,一中證券有限公司,2/F CHEONG K. BUILDING 84-86 DES VOEUX ROAD CENTRAL HONG KONG,"1,047",0.00%
B01510,東英亞洲證券有限公司,SUITES 4004 40/F TWO EXCHANGE SQUARE 8 CONNAUGHT PLACE CENTRAL HONG KONG,"1,000",0.00%
B01645,永高證券有限公司,SUITE 2401 CHINACHEM EXCHANGE SQUARE 1 HOI WAN STREET QUARRY BAY HONG KONG,"1,000",0.00%
B01720,江陸證券有限公司,RM 504 MONGKOK COMMERCIAL CENTRE 16 ARGYLE STREET MONGKOK KOWLOON,"1,000",0.00%
B02082,黃河證券有限公司,ROOM 2701B 27/F ADMIRALTY CENTRE OFFICE TOWER 1 18 HARCOURT ROAD ADMIRALTY HONG KONG,"1,000",0.00%
B02112,凱匯資本證券有限公司,RM 1005-1006 10/F INFINITUS PLAZA 199 DES VOEUX ROAD CENTRAL HONG KONG,"1,000",0.00%
B02119,嘉銀證券有限公司,SUITE 1605 16/F 9 QUEEN'S ROAD CENTRAL CENTRAL HONG KONG,"1,000",0.00%
B01615,金輝証券有限公司,21/F CHAMPION BUILDING 287-291 DES VOEUX ROAD CENTRAL HONG KONG,900,0.00%
B02063,高歌證券有限公司,UNIT NO 901 9TH FLOOR CAPITAL CENTRE 151 GLOUCESTER ROAD WANCHAI HONG KONG,900,0.00%
B01918,偉祿亞太證券有限公司,SUITE 2402 24/F JARDINE HOUSE 1 CONNAUGHT PLACE CENTRAL HONG KONG,824,0.00%
B01471,大灣區深港證券有限公司,RM 2526-36 25/F SUN HUNG KAI CENTRE 30 HARBOUR ROAD WANCHAI HONG KONG,600,0.00%
B01964,鎧盛證券有限公司,RM 3401 34/F HOPEWELL CENTRE 183 QUEEN'S ROAD EAST WANCHAI HONG KONG,600,0.00%
B02177,浙商國際金融控股有限公司,ROOM 1703-06 17/F INFINITUS PLAZA 199 DES VOEUX ROAD CENTRAL SHEUNG WAN HONG KONG,600,0.00%
B02213,中信信期國際證券有限公司,"2312-2316 23/F CITIC TOWER 1 TIM MEI AVENUE, CENTRAL HONG KONG",600,0.00%
B01669,第一證券(香港)有限公司,RM 1708-1710 17/F CHINA INSURANCE GROUP BUILDING 141 DES VOEUX ROAD CENTRAL HONG KONG,500,0.00%
B01755,匯澤證券有限公司,"SUITE 1409, 14/F, NORTH TOWER WORLD FINANCE CENTRE 19 CANTON ROAD, TST KOWLOON",500,0.00%
B02019,智易東方證券有限公司,ROOM A 24/F STANDARD CHARTERED BANK BUILDING 4-4A DES VOEUX ROAD CENTRAL CENTRAL HONG KONG,500,0.00%
C00111,Societe Generale,38/F THREE PACIFIC PLACE 1 QUEEN'S ROAD EAST HONG KONG,500,0.00%
B01271,恒泰証券有限公司,ROOM 2105A 21/F K.WAH CENTRE 191 JAVA ROAD NORTH POINT HONG KONG,400,0.00%
B01919,泰嘉證券資產管理有限公司,RM B3 29/F TML TOWER 3 HOI SHING ROAD TSUEN WAN NEW TERRITORIES,400,0.00%
B01922,太陽證券有限公司,28/F BANK OF EAST ASIA HARBOUR VIEW CENTRE 56 GLOUCESTER ROAD WANCHAI HONG KONG,400,0.00%
B01993,高誠證券有限公司,23/F-24/F EMPEROR GROUP CENTRE 288 HENNESSY ROAD WANCHAI HONG KONG,400,0.00%
B02114,遠源證券有限公司,15/F 369 HENNESSY ROAD WAN CHAI HONG KONG,400,0.00%
B02180,貝德斯證券有限公司,8/F 80 GLOUCESTER ROAD WANCHAI HONG KONG,400,0.00%
B01277,源盛證券有限公司,SUITES 3606-08 36/F 8 FINANCE STREET TWO INTERNATIONAL FINANCE CENTRE CENTRAL HONG KONG,300,0.00%
B01455,中潤證券有限公司,RM 102 1/F ON HONG COMMERCIAL BUILDING 145 HENNESSY ROAD WANCHAI HONG KONG,300,0.00%
B01971,橫華國際証券有限公司,17/F CENTRE POINT 181-185 GLOUCESTER ROAD WANCHAI HONG KONG,300,0.00%
B02091,星河證券有限公司,ROOM 2102 THE GALLERIA 9 QUEEN'S ROAD CENTRAL CENTRAL HONG KONG,300,0.00%
B02101,雅景證券股份有限公司,41/F MONTERY PLAZA 15-17 CHONG YIP STREET KWUN TONG KOWLOON,300,0.00%
C00011,大眾銀行(香港)有限公司,PUBLIC BANK CENTRE 120 DES VOEUX ROAD CENTRAL HONG KONG,300,0.00%
B01494,高陞證券有限公司,6/F GRAND BUILDING 15-18 CONNAUGHT ROAD CENTRAL HONG KONG,200,0.00%
B01741,佳富達證券有限公司,28/F SHUN FENG INTERNATIONAL CENTRE NO.182 QUEEN'S ROAD EAST WAN CHAI HONG KONG,200,0.00%
B01974,雅利多證券有限公司,ROOM 2502 25/F HOPEWELL CENTRE 183 QUEEN'S ROAD EAST WANCHAI HONG KONG,200,0.00%
B01998,華升證券(國際)有限公司,UNIT 1501 & 1503 15/F YF LIFE CENTRE 38 GLOUCESTER ROAD WAN CHAI HONG KONG,200,0.00%
B02003,東興證券(香港)有限公司,UNIT NOS 7503B-7504 75/F INTERNATIONAL COMMERCE CENTRE 1 AUSTIN ROAD WEST KOWLOON,200,0.00%
B02023,東海國際證券(香港)有限公司,20/F SHANGHAI COMMERCIAL BANK TOWER 12 QUEEN'S ROAD CENTRAL HONG KONG,200,0.00%
B02068,勤豐證券有限公司,ROOM 2202 22/F FAR EAST FINANCE CENTER 16 HARCOURT ROAD HONG KONG,200,0.00%
B02077,CONRAD INVESTMENT SERVICES LTD,23/F TUNG HIP COMMERCIAL BUILDING 244-248 DES VOEUX ROAD CENTRAL SHEUNG WAN HONG KONG,200,0.00%
B02093,晉億證券有限公司,RM 1717 CHINA MERCHANTS TOWER SHUN TAK CENTRE 168 CONNAUGHT ROAD CENTRAL SHEUNG WAN HONG KONG,200,0.00%
B02123,中國數字金融證券有限公司,13A/F YF LIFE CENTRE 38 GLOUCESTER ROAD WAN CHAI HONG KONG,200,0.00%
B02163,金鷹證券有限公司,UNIT 2115 21/F NORTH TOWER CONCORDIA PLAZA NO.1 SCIENCE MUSEUM ROAD KOWLOON,200,0.00%
B02167,山金證券(香港)有限公司,ROOMS 4003-05 40/F CHINA RESOURCES BUILDING 26 HARBOUR ROAD WAN CHAI HONG KONG,200,0.00%
B02183,浦銀國際證券有限公司,33/F SPD BANK TOWER ONE HENNESSY 1 HENNESSY ROAD HONG KONG,200,0.00%
B01329,昌萬年有限公司,NO 5A 15/F CHEONG K BUILDING 84 & 86 DES VOEUX ROAD CENTRAL CENTRAL HONG KONG,100,0.00%
B01343,展兆投資有限公司,ROOM 2202-3 22/F CHINA INSURANCE GROUP BUILDING 141 DES VOEUX ROAD CENTRAL HONG KONG,100,0.00%
B01447,貝塔國際證券有限公司,ROOM 3326 33/F CHINA MERCHANTS TOWER SHUN TAK CENTRE 168-200 CONNAUGHT RD CENTRAL SHEUNG WAN HONG KONG,100,0.00%
B01454,昊天國際證券有限公司,ROOM 2510-2518 25/F SHUI ON CENTRE 6-8 HARBOUR ROAD WANCHAI HONG KONG,100,0.00%
B01664,路華證券有限公司,UNIT 25B01 25/F FAR EAST FINANCE CENTER 16 HARCOURT ROAD ADMIRATLY HONG KONG,100,0.00%
B01857,佳兆業金融集團有限公司,30/F THE CENTER 99 QUEEN'S ROAD CENTRAL CENTRAL HONG KONG,100,0.00%
B01863,微投證券國際(香港)有限公司,FLAT 9-10A 10/F WING TUCK COMMERCIAL CENTRE 177-183 WING LOK STREET SHEUNG WAN HONG KONG,100,0.00%
B01920,天大証券有限公司,SUITES 2401-2410 24/F CITIC TOWER 1 TIM MEI AVENUE CENTRAL HONG KONG,100,0.00%
B01980,山證國際證券有限公司,UNIT A 29/F ADMIRALTY CENTRE TOWER 1 18 HARCOURT ROAD ADMIRALTY HONG KONG,100,0.00%
B01982,中州國際證券有限公司,ROOM 1304 13/F ADMIRALTY CENTRE TOWER 1 18 HARCOURT ROAD ADMIRALTY HONG KONG,100,0.00%
B02052,聖衡金融控股有限公司,UNIT 2107 21/F THE CENTER 99 QUEEN'S ROAD CENTRAL CENTRAL HONG KONG,100,0.00%
B02087,環球大通證券有限公司,UNIT 1203 12/F WEST TOWER SHUN TAK CENTRE 168-200 CONNAUGHT ROAD CENTRAL HONG KONG,100,0.00%
B02178,利高證券有限公司,UNIT 1202 12/F WEST EXCHANGE TOWER 322 DES VOEUX ROAD CENTRAL HONG KONG,100,0.00%
B01240,秦志遠證券有限公司,20/F MAN ON COMM BLDG 12 JUBILEE ST CENTRAL HONG KONG,47,0.00%
