參與者編號,中央結算系統參與者名稱 (*即願意披露的投資者戶口持有人),地址,持股量,佔已發行股份/權證/單位百分比
B01858,元大證券(香港)有限公司,23/F TOWER 1 ADMIRALTY CENTRE 18 HARCOURT ROAD ADMIRALTY HONG KONG,"935,000",0.08%
C00041,華僑銀行(香港)有限公司,1/F EASTERN CENTRAL PLAZA 3 YIU HING ROAD SHAU KEI WAN HONG KONG,"907,100",0.08%
B01890,國信證券(香港)經紀有限公司,SUITES 3207-3212 32/F ONE PACIFIC PLACE 88 QUEENSWAY HONG KONG,"887,200",0.08%
C00037,上海商業銀行有限公司,C/O SECURITIES PROCESSING CENTRE LEVEL 23 TOWER 2 KOWLOON COMMERCE CENTRE 51 KWAI CHEONG ROAD KWAI CHUNG NEW TERRITORIES,"870,200",0.08%
B01143,海通國際證券有限公司,22/F LI PO CHUN CHAMBERS 189 DES VOEUX ROAD CENTRAL HONG KONG,"867,500",0.08%
C00058,中信銀行(國際)有限公司,30/F TWO TAIKOO PLACE TAIKOO PLACE 979 KING'S ROAD QUARRY BAY HONG KONG,"820,100",0.07%
B01118,東亞證券有限公司,C/O BEA SETTLEMENT OPERATIONS DEPT-IOS 35/F BEA TOWER MILLENNIUM CITY 5 418 KWUN TONG ROAD KOWLOON,"813,600",0.07%
C00048,集友銀行有限公司,23/F BANK OF CHINA CENTRE OLYMPIAN CITY 11 HOI FAI ROAD WEST KOWLOON KOWLOON,"796,500",0.07%
B01905,國投證券(香港)有限公司,39/F ONE EXCHANGE SQUARE CENTRAL HONG KONG,"745,700",0.06%
B01228,中信証券經紀(香港)有限公司,26/F CITIC TOWER 1 TIM MEI AVENUE CENTRAL HONG KONG,"710,200",0.06%
B01885,哈富證券有限公司,UNIT 3203 TOWER 1 ADMIRALTY CENTRE 18 HARCOURT ROAD ADMIRALTY HONG KONG,"681,600",0.06%
C00003,東亞銀行有限公司,35/F BEA TOWER MILLENNIUM CITY 5 418 KWUN TONG ROAD KWUN TONG KOWLOON,"671,400",0.06%
B01089,匯豐金融證券(香港)有限公司,LEVEL 25 HSBC MAIN BUILDING 1 QUEEN'S ROAD CENTRAL HONG KONG,"666,700",0.06%
B01610,凱基證券亞洲有限公司,41/F CENTRAL PLAZA 18 HARBOUR ROAD WANCHAI HONG KONG,"663,300",0.06%
B01115,申萬宏源證券(香港)有限公司,6/F THREE PACIFIC 1 QUEEN'S ROAD EAST HONG KONG,"627,100",0.05%
B01556,六福證券(香港)有限公司,UNITS 2201-2205 22/F COSCO TOWER 183 QUEEN'S ROAD CENTRAL HONG KONG,"610,000",0.05%
B01686,第一上海證券有限公司,19/F WING ON HOUSE 71 DES VOEUX ROAD CENTRAL HONG KONG,"578,500",0.05%
B01224,MLFE LTD,C/O BANK OF AMERICA MERRILL LYNCH 38/F CHEUNG KONG CENTER 2 QUEEN'S ROAD CENTRAL CENTRAL HONG KONG,"490,500",0.04%
B01423,信誠證券有限公司,RM 901-904 WORLD WIDE HOUSE 19 DES VOEUX ROAD CENTRAL HONG KONG,"482,389",0.04%
B01347,中國銀河證券香港有限公司,UNIT 2808B-2811 28/F WING ON CENTRE 111 CONNAUGHT ROAD CENTRAL HONG KONG,"480,700",0.04%
B01947,富邦證券(香港)有限公司,UNIT 1002 10/F HONG KONG LI-NING BUILDING 218 ELECTRIC ROAD NORTH POINT HONG KONG,"455,200",0.04%
B01184,華富建業證券有限公司,"5/F,RM 2401&2412 WING ON CENTRE 111 CONNAUGHT ROAD CENTRAL SHEUNG WAN HONG KONG","451,100",0.04%
